frame	seconds	events	node_changes	network_moves	cohort_moves	tx_started	tx_ended
355	5.68	11	2	0	2	6	3
356	5.696	4	0	0	0	0	4
357	5.712	11	2	0	2	8	3
358	5.728	9	1	0	1	7	1
359	5.744	15	2	0	109	8	7
360	5.76	10	1	0	0	4	6
361	5.776	8	1	0	0	4	4
362	5.792	28	4	0	3	18	9
363	5.808	2	0	0	0	0	2
364	5.824	10	1	0	1	4	6
365	5.84	30	5	0	6	19	10
366	5.856	8	1	0	1	4	4
367	5.872	27	4	0	4	13	11
368	5.888	13	1	0	121	4	9
369	5.904	21	3	0	3	10	9
370	5.92	20	2	0	121	7	12
371	5.936	22	3	0	176	12	10
372	5.952	20	3	0	175	9	8
373	5.968	23	3	0	291	12	11
374	5.984	13	2	0	283	5	5
375	6	25	4	0	178	14	10
376	6.016	20	2	0	2	8	12
377	6.032	14	2	0	11	5	9
378	6.048	19	3	0	110	11	7
379	6.064	22	3	0	2	12	9
380	6.08	13	1	0	103	4	9
381	6.096	16	2	0	2	7	8
382	6.112	18	3	0	0	11	6
383	6.128	23	3	0	101	12	11
384	6.144	4	0	0	0	0	4
385	6.16	29	4	0	100	10	16
386	6.176	15	2	0	2	8	7
387	6.192	14	2	0	0	8	6
388	6.208	3	0	0	0	0	3
389	6.224	23	3	0	1	11	11
390	6.24	3	0	0	0	0	3
391	6.256	8	1	0	0	3	4
392	6.272	8	1	0	0	3	4
393	6.288	1	0	0	0	0	1
394	6.304	10	2	0	0	6	2
395	6.32	0	0	0	0	0	0
396	6.336	10	1	0	41	6	3
397	6.352	9	1	0	0	2	5
398	6.368	1	0	0	0	0	1
399	6.384	13	2	0	0	3	8
400	6.4	16	3	0	3	9	4
401	6.416	4	0	0	0	0	4
402	6.432	10	2	0	0	6	3
403	6.448	10	2	0	2	6	3
404	6.464	3	0	0	0	0	3
405	6.48	4	0	0	0	0	4
406	6.496	6	1	0	95	1	2
407	6.512	2	1	0	0	1	1
408	6.528	5	0	0	0	0	5
409	6.544	3	0	0	0	3	0
410	6.56	11	2	0	0	7	3
411	6.576	1	0	0	0	0	1
412	6.592	2	0	0	0	0	2
413	6.608	5	1	0	0	4	1
414	6.624	8	1	0	1	3	4
415	6.64	10	2	0	0	7	2
416	6.656	11	1	0	0	3	7
417	6.672	24	4	0	3	8	9
418	6.688	2	0	0	0	0	2
419	6.704	11	1	0	1	7	3
420	6.72	8	1	0	0	4	4
421	6.736	2	0	0	0	0	2
422	6.752	8	1	0	2	3	4
423	6.768	2	0	0	0	0	2
424	6.784	9	1	0	95	4	5
425	6.8	5	1	0	1	4	1
426	6.816	2	0	0	0	0	2
427	6.832	12	2	0	3	8	4
428	6.848	0	0	0	0	0	0
429	6.864	15	2	0	2	8	7
430	6.88	7	1	0	1	3	3
431	6.896	10	2	0	0	7	3
432	6.912	17	2	0	2	8	9
433	6.928	5	1	0	0	4	1
434	6.944	24	4	0	2	16	8
435	6.96	6	0	0	0	0	6
436	6.976	11	1	0	1	3	7
437	6.992	22	3	0	2	10	10
438	7.008	9	1	0	0	2	6
439	7.024	15	2	0	0	8	7
440	7.04	14	2	0	1	6	6
441	7.056	15	2	0	0	8	7
442	7.072	3	0	0	0	0	3
443	7.088	17	3	0	2	4	5
444	7.104	25	4	0	101	15	9
445	7.12	8	1	0	25	3	4
446	7.136	16	3	0	0	11	4
447	7.152	21	2	0	1	8	13
448	7.168	10	2	0	0	0	6
449	7.184	26	3	0	0	12	14
450	7.2	6	1	0	0	4	2
451	7.216	14	2	0	0	8	6
452	7.232	11	1	0	0	4	7
453	7.248	19	2	0	0	4	7
454	7.264	25	4	0	0	15	9
455	7.28	8	1	0	0	0	4
456	7.296	2	0	0	0	0	2
457	7.312	4	0	0	0	0	4
458	7.328	4	0	0	0	4	0
459	7.344	7	1	0	1	4	3
460	7.36	0	0	0	0	0	0
461	7.376	13	2	0	1	8	5
462	7.392	0	0	0	0	0	0
463	7.408	1	0	0	0	0	1
464	7.424	3	0	0	0	0	3
465	7.44	0	0	0	0	0	0
466	7.456	0	0	0	0	0	0
467	7.472	0	0	0	0	0	0
468	7.488	24	4	0	0	14	8
469	7.504	6	1	0	0	5	1
470	7.52	2	0	0	0	0	2
471	7.536	2	0	0	0	0	2
472	7.552	10	2	0	0	8	2
473	7.568	8	1	0	109	3	4
474	7.584	14	2	0	0	6	6
475	7.6	10	1	0	1	3	6
476	7.616	9	1	0	0	3	5
477	7.632	6	1	0	1	3	2
478	7.648	11	2	0	0	7	3
479	7.664	0	0	0	0	0	0
480	7.68	9	1	0	1	3	5
481	7.696	9	1	0	0	3	5
482	7.712	6	1	0	0	4	2
483	7.728	19	2	0	117	7	11
484	7.744	1	0	0	0	0	1
485	7.76	16	3	0	1	9	4
486	7.776	7	1	0	121	3	3
487	7.792	9	1	0	1	4	5
488	7.808	13	1	0	1	4	9
489	7.824	7	1	0	0	3	3
490	7.84	8	1	0	1	4	4
491	7.856	7	1	0	1	4	3
492	7.872	22	4	0	2	14	6
493	7.888	10	1	0	1	4	6
494	7.904	9	1	0	1	4	5
495	7.92	9	1	0	0	4	5
496	7.936	14	1	0	1	3	10
497	7.952	14	2	0	102	7	6
498	7.968	6	1	0	1	4	2
499	7.984	10	1	0	1	4	6
500	8	10	2	0	1	3	3
501	8.016	7	1	0	1	4	3
502	8.032	8	1	0	109	4	4
503	8.048	19	3	0	3	11	7
504	8.064	0	0	0	0	0	0
505	8.08	13	2	0	2	4	5
506	8.096	27	4	0	118	7	14
507	8.112	8	1	0	1	3	4
508	8.128	19	3	0	121	7	7
509	8.144	2	0	0	0	0	2
510	8.16	4	0	0	0	0	4
511	8.176	7	1	0	1	2	3
512	8.192	0	0	0	0	0	0
513	8.208	6	1	0	1	2	2
514	8.224	0	0	0	0	0	0
515	8.24	5	1	0	1	3	1
516	8.256	7	1	0	2	4	2
517	8.272	18	3	0	2	10	7
518	8.288	1	0	0	0	0	1
519	8.304	15	2	0	1	8	7
520	8.32	8	1	0	1	4	4
521	8.336	7	1	0	1	0	3
522	8.352	17	2	0	1	3	9
523	8.368	1	0	0	0	0	1
524	8.384	0	0	0	0	0	0
525	8.4	0	0	0	0	0	0
526	8.416	0	0	0	0	0	0
527	8.432	0	0	0	0	0	0
528	8.448	4	0	0	0	4	0
529	8.464	5	1	0	3	3	1
530	8.48	6	1	0	1	4	2
531	8.496	2	0	0	0	0	2
532	8.512	7	1	0	0	2	3
533	8.528	0	0	0	0	0	0
534	8.544	0	0	0	0	0	0
535	8.56	1	0	0	0	0	1
536	8.576	1	0	0	0	0	1
537	8.592	1	0	0	0	0	1
538	8.608	0	0	0	0	0	0
539	8.624	0	0	0	0	0	0
540	8.64	0	0	0	0	0	0
541	8.656	0	0	0	0	0	0
542	8.672	8	2	0	1	3	3
543	8.688	2	0	0	0	0	2
544	8.704	2	0	0	0	0	2
545	8.72	0	0	0	0	0	0
546	8.736	0	0	0	0	0	0
547	8.752	1	0	0	0	0	1
548	8.768	0	0	0	0	0	0
549	8.784	1	0	0	0	0	1
550	8.8	0	0	0	0	0	0
551	8.816	0	0	0	0	0	0
552	8.832	0	0	0	0	0	0
553	8.848	3	0	0	0	3	0
554	8.864	0	0	0	0	0	0
555	8.88	0	0	0	0	0	0
556	8.896	2	0	0	0	0	2
557	8.912	0	0	0	0	0	0
558	8.928	0	0	0	0	0	0
559	8.944	0	0	0	0	0	0
560	8.96	0	0	0	0	0	0
561	8.976	0	0	0	0	0	0
562	8.992	0	0	0	0	0	0
563	9.008	0	0	0	0	0	0
564	9.024	0	0	0	0	0	0
565	9.04	0	0	0	0	0	0
566	9.056	0	0	0	0	0	0
567	9.072	1	0	0	0	0	1
568	9.088	6	1	0	1	3	2
569	9.104	0	0	0	0	0	0
570	9.12	10	2	0	3	5	2
571	9.136	0	0	0	0	0	0
572	9.152	3	0	0	0	0	3
573	9.168	1	0	0	0	0	1
574	9.184	0	0	0	0	0	0
575	9.2	0	0	0	0	0	0
576	9.216	0	0	0	0	0	0
577	9.232	0	0	0	0	0	0
578	9.248	0	0	0	0	0	0
579	9.264	0	0	0	0	0	0
580	9.28	1	0	0	0	0	1
581	9.296	0	0	0	0	0	0
582	9.312	1	0	0	0	0	1
583	9.328	0	0	0	0	0	0
584	9.344	5	1	0	1	3	1
585	9.36	0	0	0	0	0	0
586	9.376	0	0	0	0	0	0
587	9.392	0	0	0	0	0	0
588	9.408	0	0	0	0	0	0
589	9.424	0	0	0	0	0	0
590	9.44	0	0	0	0	0	0
591	9.456	0	0	0	0	0	0
592	9.472	0	0	0	0	0	0
593	9.488	0	0	0	0	0	0
594	9.504	0	0	0	0	0	0
595	9.52	0	0	0	0	0	0
596	9.536	0	0	0	0	0	0
597	9.552	0	0	0	0	0	0
598	9.568	11	2	0	3	7	3
599	9.584	0	0	0	0	0	0
600	9.6	11	2	0	1	6	3
601	9.616	2	0	0	0	0	2
602	9.632	7	1	0	1	3	3
603	9.648	8	1	0	1	3	4
604	9.664	6	1	0	1	4	2
605	9.68	6	1	0	1	4	2
606	9.696	8	1	0	1	4	4
607	9.712	7	1	0	2	4	3
608	9.728	4	0	0	0	0	4
609	9.744	6	1	0	1	4	2
610	9.76	0	0	0	0	0	0
611	9.776	0	0	0	0	0	0
612	9.792	2	0	0	0	0	2
613	9.808	1	0	0	0	0	1
614	9.824	0	0	0	0	0	0
615	9.84	0	0	0	0	0	0
616	9.856	0	0	0	0	0	0
617	9.872	0	0	0	0	0	0
618	9.888	0	0	0	0	0	0
619	9.904	5	1	0	1	4	1
620	9.92	1	0	0	0	0	1
621	9.936	6	1	0	1	4	2
622	9.952	0	0	0	0	0	0
623	9.968	7	1	0	1	3	3
624	9.984	0	0	0	0	0	0
625	10	0	0	0	0	0	0
626	10.016	0	0	0	0	0	0
627	10.032	0	0	0	0	0	0
628	10.048	0	0	0	0	0	0
629	10.064	0	0	0	0	0	0
630	10.08	0	0	0	0	0	0
631	10.096	0	0	0	0	0	0
632	10.112	0	0	0	0	0	0
633	10.128	2	0	0	0	0	2
634	10.144	2	0	0	0	0	2
635	10.16	8	1	0	3	3	3
636	10.176	0	0	0	0	0	0
637	10.192	3	1	0	1	1	2
638	10.208	1	0	0	0	0	1
639	10.224	1	0	0	0	0	1
640	10.24	0	0	0	0	0	0
641	10.256	0	0	0	0	0	0
642	10.272	0	0	0	0	0	0
643	10.288	0	0	0	0	0	0
644	10.304	0	0	0	0	0	0
645	10.32	0	0	0	0	0	0
646	10.336	0	0	0	0	0	0
647	10.352	1	0	0	0	0	1
648	10.368	0	0	0	0	0	0
649	10.384	2	0	0	0	0	2
650	10.38823455	1	0	0	0	0	1
